,Seed,PopulationSize,TaskNumber,tSize,MutationProbability,Iterations,BestIndividual,BestIndividualScore
0,1,30,30,3,0.1,10,"[ 9 10  7  2  5 16 17 25  0 21 11  3 12  1 27 26 14 24 29 15 18 23 20 22
 13 19  4 28  6  8]",6921
1,1,30,30,3,0.1,30,"[ 7 17  3 21 10 16 11 12 14 15 23  5 24 22 13  1  0 26  2 25  9 27 18 20
 19  4  8 28 29  6]",2310
2,1,30,30,3,0.1,50,"[ 3 17 21 25  5 12 15 11 14  6 10  1  7  0 23  2  9 19 13 26 20 16 24 18
 27 22 29  8  4 28]",5254
3,1,30,30,3,0.1,70,"[17  7  3  9 21 22  2  0 12 15 10 11 13 26  5 14  1  6 25 18 23 27 20 24
 19 29  8 16 28  4]",867
4,1,30,30,3,0.1,90,"[21 17  7  5  9  3 22  0 12 10 14 11 13  1 15 27  2  6 26 25 23 18 19 20
 16 24 28  8  4 29]",1008
5,42,30,30,3,0.1,10,"[22 27 10  9 16 17 21  4 29 14 19  6  3 20 18  5 13  1 25  0  2 24  7 11
  8 12 26 23 28 15]",7862
6,42,30,30,3,0.1,30,"[10 16  9 17 14  7 27 24 21 29 19 13  5  6  3 25  2  0  1 12 15 22  4  8
 20 28 23 26 11 18]",6123
7,42,30,30,3,0.1,50,"[10 17  9 21  6 13 29 25 19  5  3 16 27 14 24  4  1  2 15 12 11 20  7  8
 22 28  0 26 18 23]",4806
8,42,30,30,3,0.1,70,"[21  9 17 14 27 10  3 29  6 19  4 16 25 13  1  0  5 15 22 12  2 20 18 28
  7  8 23 26 11 24]",7966
9,42,30,30,3,0.1,90,"[10  9 21 17  6 14 29 13  3 27 19 16 24  1 22 25 28  2  4 12  8 15  5 20
  7 11  0 26 23 18]",4300
10,321,30,30,3,0.1,10,"[19  0 15 16 22  3 18 25 10 17 26 21 11 13 27 28 29  2  4  9  6  5 12  8
 23 20  1  7 24 14]",5928
11,321,30,30,3,0.1,30,"[10 15 17 11 25 19  9 16 22  8 21  3  0 13 18  2  7 26 29  4  5 20  1  6
 24 28 14 27 12 23]",3244
12,321,30,30,3,0.1,50,"[17  4 19 25 11 22  8 18 16 15 29 13 12  3  0 21 26  5  7  2  9  6 20 10
 14 28 27  1 23 24]",4650
13,321,30,30,3,0.1,70,"[25  0 11 17 22 15 18 21 19  8 10  3 13 16  7 26 29  5  6  9 20 14  2  4
 27 28  1 24 12 23]",3089
14,321,30,30,3,0.1,90,"[17 25 16 15 22  2 11 21 19  8  0 13 18  7 10 26  3 29  5 14  9  6  4 20
 24 28 27  1 23 12]",2392
15,2137,30,30,3,0.1,10,"[20 10  8 28 17 27 26 22 15 23 24 18  2 25  6  4 21  1  0  3  5  9 11 16
 29 12  7 13 19 14]",16470
16,2137,30,30,3,0.1,30,"[17 10 14 27 25  9  2 23 26 20 12  8 24  1  4 15  7  5 13  3  6  0 18 29
 28 21 11 22 19 16]",9440
17,2137,30,30,3,0.1,50,"[17 10 20 26 15  0 23  8 27  9  2 18 12 25 24 14  1 16  5  4  6 22  3 13
 21 19  7 11 29 28]",7929
18,2137,30,30,3,0.1,70,"[10 17 26 20 27  2  0 23 25 14 18  8 24 15  4  1 12  5  9 28 22  6  3  7
 21 13 16 29 11 19]",5211
19,2137,30,30,3,0.1,90,"[17 10 20 14 26  8  2 23 27 25  0 18  9 24  4 15  5 12  1  3 13  6  7 16
 28 29 21 22 19 11]",4633
20,321,30,30,3,0.1,10,"[19  0 15 16 22  3 18 25 10 17 26 21 11 13 27 28 29  2  4  9  6  5 12  8
 23 20  1  7 24 14]",5928
21,321,30,30,3,0.1,30,"[10 15 17 11 25 19  9 16 22  8 21  3  0 13 18  2  7 26 29  4  5 20  1  6
 24 28 14 27 12 23]",3244
22,321,30,30,3,0.1,50,"[17  4 19 25 11 22  8 18 16 15 29 13 12  3  0 21 26  5  7  2  9  6 20 10
 14 28 27  1 23 24]",4650
23,321,30,30,3,0.1,70,"[25  0 11 17 22 15 18 21 19  8 10  3 13 16  7 26 29  5  6  9 20 14  2  4
 27 28  1 24 12 23]",3089
24,321,30,30,3,0.1,90,"[17 25 16 15 22  2 11 21 19  8  0 13 18  7 10 26  3 29  5 14  9  6  4 20
 24 28 27  1 23 12]",2392
25,1435,30,30,3,0.1,10,"[15 29 14 21  5  0 19 28  7 26 11  1 10  9 25 27 20  2  3 17  8 12 13 16
 18 23 22  6  4 24]",4315
26,1435,30,30,3,0.1,30,"[19 29 11 12  0 14 10  7 28 13 26 15 25 16  9  5  1  3  8  2 22  6 21 18
 24 20  4 23 27 17]",1534
27,1435,30,30,3,0.1,50,"[ 0  8 29 19 26 28 11 14 21 13 16 25  1 15 10  7  5  9 20 12 18  3 22  4
  2  6 23 24 27 17]",645
28,1435,30,30,3,0.1,70,"[29  0  8 14 13 28 19  1 11 25  6 15 16 26  7 10 17 12  2 23 18 21  9  3
 24  4  5 20 27 22]",1734
29,1435,30,30,3,0.1,90,"[ 0  8 29 16 11 19 28 13 15  7 12 25 10 26  5 18 22  3 23  9 21 17 27  2
  4 24  6 20  1 14]",2508
