,Seed,PopulationSize,TaskNumber,tSize,MutationProbability,Iterations,BestIndividual,BestIndividualScore
0,1,30,30,3,0.05,20,"[22  7 26  3 21 12  9 17 11 10  1  2 14 24 15  5 20 13 25 29 23 27 18 19
 16  0  4  8 28  6]",2461
1,1,30,30,3,0.1,20,"[21  7 10 12 11 16 13  0 14 17  5  3 20 26  1 15 23  2 19  9 25  6 18 24
 27 29  4 28 22  8]",3842
2,1,30,30,3,0.15,20,"[21  7 12 14 29 13  3 11  1 19 15  5  0 10  9 23  2 25 26 27 18 28  8 20
 24  6  4 22 16 17]",7169
3,1,30,30,3,0.2,20,"[ 7 17  3 14 21 13 11  5 12 23 10 15  1 27  9  2  4 25 24 22 19 18  0 26
 20 29  6 28  8 16]",2391
4,1,30,30,3,0.25,20,"[ 9 17 21 22 12  7 23  3 11 15  5 16 10 14 20  1 25 19 26 18 13  2 27  6
  0 28 24  4 29  8]",2747
5,1,30,30,3,0.3,20,"[ 7  3 17 10 24 21 11  1 12 14 22 16 26 15 20 13  5 25 23 27  9 28 18 29
 19  4  2  6  8  0]",4082
6,42,30,30,3,0.05,20,"[10 27  9 17 21 14 13 18 29 16 19  3  6 24  4 20 25  7  1 15  2  0  5 12
  8 28 23 26 11 22]",6250
7,42,30,30,3,0.1,20,"[21 14  9 17 29  6 10 16 27  1 19 13 24  3  4 25  2 28  7  5  8 12 20 23
 18 11 26 22  0 15]",4964
8,42,30,30,3,0.15,20,"[ 9 10 17  3 25  6 21 27 29  0 19 16  4 14  5  1 24  2 20 22 13 12 11  7
 18  8 23 28 15 26]",6992
9,42,30,30,3,0.2,20,"[ 9 10 17 21 29  2 14  6 19 27 20  0  3  8 24 16  4  5 25  1  7 22 26 28
 15 12 18 23 11 13]",8099
10,42,30,30,3,0.25,20,"[10 17 21 27  5  9 16  1 14 13 19 29 25  6 24  3  4  2 12 22 23 28  7 20
  8 11 26 18 15  0]",5768
11,42,30,30,3,0.3,20,"[ 9 10 21 16 27 17 29  6 15 14 24 13 19  1 25  3 12  2  5  8  4  0 20  7
 28 26 11 23 22 18]",5862
12,321,30,30,3,0.05,20,"[13 15 25 22 19 17 16 21 11  0 10 28 26  3 18 27  8  9  4  7  2  5 12 24
 14 20  6  1 23 29]",5930
13,321,30,30,3,0.1,20,"[25 15 13  2 22 21 17  8 11  3 29  5 18  9 19 27  7 16 10  0 26  4 14  6
 20 24 28 12  1 23]",4866
14,321,30,30,3,0.15,20,"[ 4 11 22 25 16  5 15  0  8 19 21 13  2 18  3 17  7 29 10 24 20 26 14  9
 27  6 28 23  1 12]",3999
15,321,30,30,3,0.2,20,"[ 3 18 17 25 22 19 11  9 10  0  7 15 21  2 13  8 16 26  5 29 27  4 28  1
 14 20 23 24  6 12]",4463
16,321,30,30,3,0.25,20,"[11  0 25 13 18 15 17 16 21  8 20  3 19 29  9  2  4  5 22  7 28 26 24 10
 14 12 27  6 23  1]",5338
