,Seed,PopulationSize,TaskNumber,tSize,MutationProbability,Iterations,BestIndividual,BestIndividualScore
0,1,10,30,3,0.1,20,"[17 13 21  3  9 16 18 12 20  8 11 10 14  7 22  5  1  6 23 28 15 25 27 24
 26  2 29  0  4 19]",9277
1,1,20,30,3,0.1,20,"[ 7 12 16 21 20 17 26  5  3 11  2 14  1 27 15 10 23 28 25  9 13 18 29 19
 24  6  4  8  0 22]",3684
2,1,30,30,3,0.1,20,"[21  7 17 12 11  9  3 26  8 15 23 19 10  5 14  1 22  4 16 25 18 29 13  0
 28 20 27  6  2 24]",5661
3,1,40,30,3,0.1,20,"[21  7 17  3 11 13  2 24 12 10  9  5 15  1 14 26 25  6 22  0 23 27 18 20
 19 16  8 28  4 29]",2023
4,1,50,30,3,0.1,20,"[21  7  9  3 17 12  0 10  2 11 14 28  1 15  5 26 23 20 25 18 24 13 27 22
 16 19  6 29  4  8]",2158
5,1,60,30,3,0.1,20,"[ 3 10  7 17 21  9 12 11  1 22 15  2 13 20 14  5 18 25 26  0 23  6 24 27
 28 16 19 29  4  8]",1428
6,42,10,30,3,0.1,20,"[ 3  1 16  9 13 11 27 29 14 21  4 25 24 23  2 10  6  8 12 19 17  5  0 22
 26  7 15 20 18 28]",18987
7,42,20,30,3,0.1,20,"[ 9 17 10 29 14  6  7  3 11 13 18 16  8 27 21 19 24 23  4 20  2  0 15  5
 28 12 26  1 25 22]",10941
8,42,30,30,3,0.1,20,"[ 9 16 10 17 29 27  6 21 14 15 13 11  5 22  4  2 20 19  3 24  1 18  7  8
 25 26 12  0 28 23]",7415
9,42,40,30,3,0.1,20,"[17  9 27 10 29  6 21  1  3 14 16 13  0 19 12 25 15  4 24 22  2 20  5  7
  8 18 28 26 11 23]",6028
10,42,50,30,3,0.1,20,"[10  9 17 27 29 24 21 16 14  6 19  8  3 13  0 20 25  1 12  4  5  7 22  2
 11 23 28 26 18 15]",5256
11,42,60,30,3,0.1,20,"[ 9 10 17  6 14 27 21  1 29 13 16 24 19 25  3  5  0  4  2 15 11 22  7 20
 23 28  8 26 18 12]",4276
12,321,10,30,3,0.1,20,"[11 18 17 15  7 26 19  4  8 22 23 27 21  3  6  1  2  5 13 25 16 14 10 28
  9 24  0 20 29 12]",13030
13,321,20,30,3,0.1,20,"[ 8 15 19  3  0 10 11 16 22 17  5 13 18 25 14 20  2 29  1 24  4 27  7  9
 21 23 28  6 12 26]",8399
14,321,30,30,3,0.1,20,"[ 5 11 10 22 15 25  4 19  8 13 21 17  0  3  9 26 28 18 29 14 20 16 27  2
  1 24  7 12 23  6]",5116
15,321,40,30,3,0.1,20,"[16 15 22 13 11 17 19 25  7 21 29  3  5  0 18  8 28 26  9 20  6  2 24 10
 27 14 23  4 12  1]",4200
16,321,50,30,3,0.1,20,"[11 16 15 25 22 17  2 13  8  3 19 18 14 26 10  5  0 21 29  4  9 20  6 24
 28 27  7 23 12  1]",4060
17,321,60,30,3,0.1,20,"[25 15 17 18 11 22 19 16  0 21  8 13  3 26 10 29  2 20  7  5 27  9 14  4
 28  6  1 12 23 24]",2887
18,2137,10,30,3,0.1,20,"[10 26  7  2 17 29 23  4 24 18  8 22 15 20 25  9 28 27 21  5 12  1  6  3
 13  0 16 11 19 14]",21342
19,2137,20,30,3,0.1,20,"[20 10 17 14  8  0 25 26 23 27 15  2 24 19 11  5  1  9 18 16  3 28  7  6
 22 13  4 21 29 12]",12782
20,2137,30,30,3,0.1,20,"[10 17 20 25 27 26  2  0 21  8 23 24 18  4 15  5 14  6  9 16 13 11 22  3
  1 29  7 19 28 12]",8192
21,2137,40,30,3,0.1,20,"[10 23 26 17 27  1 25 24  0  2  8 20 11  5 18 15  4  9 14  7  6 16  3 13
 29 21 19 22 12 28]",11373
22,2137,50,30,3,0.1,20,"[10 17  7 20 14  8 15  0 27 25 26  2 23 12 18  4 22  9  1 24 21  5 11  6
  3 28 13 29 19 16]",7793
