,Seed,PopulationSize,TaskNumber,tSize,MutationProbability,Iterations,BestIndividual,BestIndividualScore
0,1,30,30,2,0.1,20,"[11 21  7 12 17  3  9  5 22 10 26 25 15  1 27 14 16 28 23 18 13  6 24  4
  2  0 20 29  8 19]",4047
1,1,30,30,4,0.1,20,"[ 4 21  7 11  1 17 20  3 12 15 10 25 14  5  9 23 28  2 27 18 26 19 13 29
 16  0 24 22  6  8]",3984
2,1,30,30,6,0.1,20,"[ 7 17  3 21  9 11 26 12 14 27 15  2 24 10  5 13  1 22 23  8 20 18 16 19
  0 25  6  4 28 29]",2844
3,1,30,30,8,0.1,20,"[ 7 26 21 12 16 17 11 24 13 20  5  3 25 10 15  9  0  1 14  2 23  6 28 27
 18 19 22  8  4 29]",3248
4,1,30,30,10,0.1,20,"[21  3 26 16 14  7 24 17 10 12  9 22 11 15  2  5  1 23  0 25 18  6 29 13
 20 19  4  8 28 27]",3289
5,1,30,30,12,0.1,20,"[14 21  0  7 28  3 17  9 10 12 11 15  2  1  5 22  6 25 24 23 27 16 13 26
 20 19 29  4  8 18]",4561
6,1,30,30,14,0.1,20,"[ 5 21  7  3  1 22 15 10 13 12  2 11 24 14 25 27  6 28 26 16 23  4 18 19
  0 20 29  9  8 17]",6719
7,1,30,30,16,0.1,20,"[ 5 16  7 11  6 20  3 21 17 12 13  2 26 10 15  1  0 14  9 25 23 27 18 19
 28 22  4 24 29  8]",4138
8,1,30,30,18,0.1,20,"[ 3 14  2 21 10 13  7  0  9 12 15 25  1 20 11  5 24 16 26 19 23 17 27 18
 28 22 29  8  4  6]",6056
9,1,30,30,20,0.1,20,"[ 0 11 16 21 17  7 10 15 22  3 20 23 14  1  2 12  5 24  9 26 25 27 13 18
 19  6  4 29 28  8]",4725
10,1,30,30,22,0.1,20,"[ 3  7  5 21 17  2 12  0 15 11  1  6 20 14 26 10  4 23 13 25 18  9 27 19
 24 22 29 16  8 28]",2797
11,1,30,30,24,0.1,20,"[12 21  6 22 11 15  5  0  7  3 23 25 24  9 10 14  4  1  2 20 26 27 18 17
  8 29 28 13 16 19]",5788
12,1,30,30,26,0.1,20,"[17  7 10  2 21 24  3 12 25  4 27 11 15 23  8  0 14  1 18 20  5  9 26  6
 22 19 13 29 28 16]",6160
13,1,30,30,28,0.1,20,"[ 5  3 21 28 23 27 13  7 16 12 11  9 10 17  1 18 15  2 14 25 20 22 26 24
 19  4  6  0 29  8]",6162
14,42,30,30,2,0.1,20,"[ 9 27 10 17 21  4 13 14  6  3 16 24 29 18  1  5 23 22  2  8 19 12 25 26
 20 15  7 11 28  0]",8451
15,42,30,30,4,0.1,20,"[10 21  9 17 29  8 14  1  3 13  6 16 27  0 24  4  7 12 25  2  5 19 20 11
 15 23 22 26 18 28]",5886
16,42,30,30,6,0.1,20,"[ 5 21  0 10  9 17 29  3 25 27 13  6 16  4 19  1 14  2 24 11 12  7  8 26
 18 20 22 15 28 23]",8201
17,42,30,30,8,0.1,20,"[10 29 17 21  9 14  6 27  0  8 16 13 24  3 19  4 25 28 20 18  2 22 15  5
  7 23 26  1 11 12]",6867
18,42,30,30,10,0.1,20,"[24 21  0 16  9 17 10 27  3  5 29 14 13  4  2 19  6 28  1 12 15 22 20 25
  8 11 26 23 18  7]",8767
19,42,30,30,12,0.1,20,"[17 10  9  0 16 29 21 14  1  6 13 11 23 27  3 15  4 20 24 22 19  7  8  5
  2 12 28 26 18 25]",8170
20,42,30,30,14,0.1,20,"[ 9  8  0 28 10  6 21 17 29  2 27  5 14  7  4 20 15 16 24  3  1 11 13 26
 25 12 18 23 22 19]",12206
21,42,30,30,16,0.1,20,"[ 9 17 10  0 13 16  1 21 29 27 19 22 14  5  3 24 25 18  4  6  2 12 28 15
  7  8 23 20 26 11]",7861
22,42,30,30,18,0.1,20,"[10 17  9 22 24  6 21  0  5 14 16 29 27  4  3 13 25 11 20 15  1  2  7 28
  8 18 12 26 23 19]",7904
23,42,30,30,20,0.1,20,"[ 9 16 17 10 27  2 29  5  1 21  6 19 14 13  8 24 18  3  0 20 22 12 23  7
 15 26 28 11  4 25]",8695
24,42,30,30,22,0.1,20,"[14  1 29  9 17 19  6 10 27  3  7  8 24  0 20  5 16 21  2  4 25 18 12 13
 22 23 15 26 28 11]",11636
25,42,30,30,24,0.1,20,"[ 6 10  9  1 29 21 26  4 14 19 16 13 27  5 28  0 24  3 18  2 25 22 15 20
  8  7 12 11 23 17]",14964
26,42,30,30,26,0.1,20,"[17  9  5  6  1 29 13 19 24 21 16  2 14 27  4 15 18  0 10  3 12 22  8 20
 11  7 26 23 25 28]",12345
27,42,30,30,28,0.1,20,"[14 27 10 17  4 21 15 29 16 18 25  9 13 11  3 19  0 24  5  6  1  2 12  8
  7 22 23 26 28 20]",11724
28,321,30,30,2,0.1,20,"[15  0 19 18 21 16  5  3 25 22  2 11 17  9  7 13  8 26  6  4 14 29 20 23
 27 10 28 24  1 12]",5741
29,321,30,30,4,0.1,20,"[25  3 22 15 19  9 18 21 16 17 11  5 10 13  0 26  8 29  4 20  7  2 27  1
 24 12 28  6 23 14]",4443
30,321,30,30,6,0.1,20,"[11 17  3 28 25  4 15 21 13  8 16 12 18 26 20  9  5  0 29 22 27  2 19 10
  6  1 23  7 14 24]",7490
31,321,30,30,8,0.1,20,"[15  5 16 11 22 25 20 17 19 21  3  8 28  7 13 10 18 24 26  9  4  0 29  1
 27  2 12 14 23  6]",5381
32,321,30,30,10,0.1,20,"[22 11  0 15 17 16 10  3 18 19 21 25  8 13  2 26  5 29  9 28 20  6 24  4
 14 27 12  1 23  7]",3739
33,321,30,30,12,0.1,20,"[18  4  0 15 25  7 22 13  2  3  8 21 11 26 16 29 19  6 20  5 28 24 10  9
 27 17  1 12 23 14]",6068
34,321,30,30,14,0.1,20,"[ 3 10  4 17 11 25 22 19 15 16 13 21 26  8  9 29 18  0  2  7 20  5 27  6
 24 23 28 12  1 14]",4371
35,321,30,30,16,0.1,20,"[11 28 17 15 22 25 16 13 21 18  8  3  9  0 26 19 29 20  4  2  5  7  6 24
 10 23 27 12  1 14]",4115
36,321,30,30,18,0.1,20,"[11 22 15 17  9 10 25  7 18 13 21  8  0  4 19 26 16  5  3 29  6  2 24 20
 28 12 14  1 23 27]",4801
37,321,30,30,20,0.1,20,"[15 16 25 19 17 13 22  5 29 11  4 18  9 26  3 21 20  8  7  6 28  1  0  2
 24 10 27 14 23 12]",5442
38,321,30,30,22,0.1,20,"[15  2 11 22  3 18 16 19 21 25 13 29 17  7  8 24  5 27 26  9  4  0 20 23
 10 14 28  6  1 12]",5499
39,321,30,30,24,0.1,20,"[16 19 11 15  5 25 17  8  3 29 18 13 28 22  0 21 10 14 26  9  7  4  2 27
 20 24  6 23 12  1]",4546
40,321,30,30,26,0.1,20,"[15  9 17 16 25 19 11 22 13  8  0  2  3 21 26 18 29 28 10  5 14 24  7 20
  6 27  4 23  1 12]",3477
41,321,30,30,28,0.1,20,"[ 5 20 11 22 25  1 13 15  8 28 27 26  0 18  2 17  3  4 19 16 21  9 29 10
  7 23 24 14  6 12]",8952
42,2137,30,30,2,0.1,20,"[14 20 22  9 27 26  2  0 10 23 15 17 24  8 12  5 25 18 16 29  6  1  4  3
 11 21 13  7 28 19]",15752
43,2137,30,30,4,0.1,20,"[17  2 10  8 26 18 20 27 14  0 25  4  9 24 21 15  5 23 12  1  7  6 11 19
 29 13 28 22  3 16]",9923
44,2137,30,30,6,0.1,20,"[17 10  7 24 20 14  2 12 15 27 25 26  0  8 18 23  4  5 28  9  3  6 11 16
 19 29 21 22  1 13]",11232
45,2137,30,30,8,0.1,20,"[26 14 10  2 25 23 17  0 20 27 18 24  4 15  9 21  3 22  8  7  5 19  1 12
 11  6 16 29 13 28]",12603
46,2137,30,30,10,0.1,20,"[17 13  4 27  0 10 20 26  2 12 18 25 23 15  8 24  6 16  9 22  5 14 29  3
 11 28  7 21  1 19]",13645
47,2137,30,30,12,0.1,20,"[20  0  3 10 27 17 12 15 26  9 23  2  8 25  1 24 13 14  5 18 21  4  6 28
 29  7 22 19 11 16]",11318
48,2137,30,30,14,0.1,20,"[20 10 14 23 27  7  8 17 25 26  0  2  4 16 24  1  9  6 15  5 13 18  3 29
 28 12 21 22 11 19]",10124
49,2137,30,30,16,0.1,20,"[ 7 27 17 23  0 26 12 20  2 24 25  8 18 10  4 15 22 21  5  9  3 14  6 19
 13 28 16 11 29  1]",12912
50,2137,30,30,18,0.1,20,"[20 10 23 27 17 25 26  2 14 21  8 22 24  4 15  9 28  5  0  3  1 18 12  6
 11  7 16 19 29 13]",10000
51,2137,30,30,20,0.1,20,"[17  5 10 23 14  0 12 27 15 24  2  8 25 20  3 11 26 28  9  4 22  6 18 29
 13  7 16 21 19  1]",14382
52,2137,30,30,22,0.1,20,"[17  5  2 25 26 27 23 20 12  7  4 10  8 24  1 22 18 15 21  9  0 14 13  6
 28 11 16 19 29  3]",16832
53,2137,30,30,24,0.1,20,"[17 14 10 26 27  2 20  4 22 25 24 21 23 18  5 15  8  9  0  1 11  6  3 12
 13 28 16  7 29 19]",10734
54,2137,30,30,26,0.1,20,"[23 17  0 10 14  5 25  8 27 20 12  2 15  4  6  9 26 24 18  1  7 29  3 21
 13 22 28 11 19 16]",12837
55,2137,30,30,28,0.1,20,"[14 20  2 10  1 18 21 26 17  0 27  7 25 24  4 15 23  9  8  5  3 12 16 28
 13 29 11 22 19  6]",15904
56,321,30,30,2,0.1,20,"[15  0 19 18 21 16  5  3 25 22  2 11 17  9  7 13  8 26  6  4 14 29 20 23
 27 10 28 24  1 12]",5741
57,321,30,30,4,0.1,20,"[25  3 22 15 19  9 18 21 16 17 11  5 10 13  0 26  8 29  4 20  7  2 27  1
 24 12 28  6 23 14]",4443
58,321,30,30,6,0.1,20,"[11 17  3 28 25  4 15 21 13  8 16 12 18 26 20  9  5  0 29 22 27  2 19 10
  6  1 23  7 14 24]",7490
59,321,30,30,8,0.1,20,"[15  5 16 11 22 25 20 17 19 21  3  8 28  7 13 10 18 24 26  9  4  0 29  1
 27  2 12 14 23  6]",5381
60,321,30,30,10,0.1,20,"[22 11  0 15 17 16 10  3 18 19 21 25  8 13  2 26  5 29  9 28 20  6 24  4
 14 27 12  1 23  7]",3739
